0.0 107.17675 9.89035
1.0 114.87917 21.86621
2.0 123.12649 36.52939
3.0 131.97508 54.07482
4.0 141.44415 75.14238
5.0 151.58952 100.14715
6.0 162.49379 130.05106
7.0 174.13190 165.20706
8.0 186.63256 206.27789
9.0 200.02320 255.59398
10.0 107.21539 674.02362
11.0 114.90452 784.89528
12.0 123.15155 913.35096
13.0 131.99674 1062.07213
14.0 141.47846 1233.55834
15.0 151.62048 1430.18178
16.0 162.49604 1657.42848
17.0 174.14552 1918.99662
18.0 186.62353 2221.53014
19.0 200.02881 2571.49064
20.0 107.12589 1338.54886
21.0 114.80708 1547.38228
22.0 123.05489 1790.12272
23.0 131.87165 2067.40424
24.0 141.33015 2385.89419
25.0 151.46202 2755.47228
26.0 162.32055 3180.20080
27.0 173.97259 3669.45730
28.0 186.47638 4232.77162
29.0 199.83719 4878.14502
30.0 107.03361 1995.44468
31.0 114.71789 2302.12772
32.0 122.93808 2655.77623
33.0 131.76435 3064.34010
34.0 141.22832 3531.63755
35.0 151.37369 4073.29085
36.0 162.25486 4696.98691
37.0 173.89060 5411.16177
38.0 186.35391 6231.94912
39.0 199.72428 7173.67586
40.0 107.08744 2661.21939
41.0 114.77366 3065.04911
42.0 122.99972 3532.71152
43.0 131.82236 4071.17792
44.0 141.29163 4688.43440
45.0 151.45825 5403.77818
46.0 162.33284 6223.48890
47.0 173.97522 7167.67153
48.0 186.46486 8250.99725
49.0 199.84593 9495.30729
